stars,title,tags,details,link,comments,author
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}10552",Markdown記法 チートシート,"[""Qiita"", ""Markdown""]","Code - コードの挿入
たとえば、Rubyで記述したコードをファイル名「qiita.rb」として投稿したいときは、 バッククオート を使用して以下のように投稿するとシンタ ...",https://qiita.com//Qiita/items/c686397e4a0f4f11683d,192,Qiita
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}8502",プログラミングでよく使う英単語のまとめ【随時更新】,"[""\u30D7\u30ED\u30B0\u30E9\u30DF\u30F3\u30B0"", ""\u82F1\u8A9E"", ""\u547D\u540D\u898F\u5247"", ""English""]","public string Name { get; private set; } = 0;
Ruby は言語仕様としてアクセサ (attr_accessor) を簡単に定義できる。",https://qiita.com//Ted-HM/items/7dde25dcffae4cdc7923,40,Ted-HM
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}8035",ペアプログラミングして気がついた新人プログラマの成長を阻害する悪習,"[""\u30D7\u30ED\u30B0\u30E9\u30DF\u30F3\u30B0"", ""Perl"", ""Ruby"", ""JavaScript""]","最近、あまりプログラミングが得意でない人のサポートをする形で、長い時間にわたってペアプログラミングを行っている。そのなかで、気がついた悪い習慣と成長するための良い習慣というものをまとめてみる。
...",https://qiita.com//hirokidaichi/items/27c757d92b6915e8ecf7,28,hirokidaichi
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}6530",非デザイナーエンジニアが一人でWebサービスを作るときに便利なツール32選,"[""Bootstrap"", ""Rails"", ""Heroku"", ""CSS"", ""Ruby""]","rticles/delayed-job
Redis&Resque
https://devcenter.heroku.com/articles/queuing-ruby ...",https://qiita.com//okappy/items/119e31cae9aa9bd9da6d,19,okappy
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}6015",【まとめ】これ知らないプログラマって損してんなって思う汎用的なツール 100超,"[""PHP"", ""JavaScript"", ""Python"", ""Ruby"", ""HTML""]","Unit
使えるテストフレームワークがこれしかない…
Phing
php のビルドツール，テスト環境や本番などの環境ごとのブートストラップ指定や，結合テストの設定に
Ruby ...",https://qiita.com//suin/items/f570f057a0ff927b47dc,32,suin
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}5286",AtCoder に登録したら次にやること ～ これだけ解けば十分闘える！過去問精選 10 問 ～,"[""\u30A2\u30EB\u30B4\u30EA\u30BA\u30E0"", ""algorithm"", ""AtCoder"", ""\u7AF6\u6280\u30D7\u30ED\u30B0\u30E9\u30DF\u30F3\u30B0"", ""\u65B0\u4EBA\u30D7\u30ED\u30B0\u30E9\u30DE\u5FDC\u63F4""]","un さん
Common Lisp
AtCoder に登録したら解くべき精選過去問 10 問を Common Lisp で解いてみた
@fireflower0 さん
Ruby ...",https://qiita.com//drken/items/fd4e5e3630d0f5859067,13,drken
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}5227",新人プログラマに知っておいてもらいたい人類がオブジェクト指向を手に入れるまでの軌跡,"[""\u30AA\u30D6\u30B8\u30A7\u30AF\u30C8\u6307\u5411"", ""Ruby"", ""JavaScript"", ""Perl"", ""Objective-C""]","rubyのmoduleやそのinclude,prepend、特異メソッド、特異クラスなどは
まさにその例だ。 たとえば、rubyのObject#sendがそ ...",https://qiita.com//hirokidaichi/items/591ad96ab12938878fe1,16,hirokidaichi
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}5121",翻訳: WebAPI 設計のベストプラクティス,"[""api"", ""rest"", ""\u8A2D\u8A08"", ""\u7FFB\u8A33"", ""WebAPI""]",Java や C# であればキャメルケースで、Python や Ruby であればスネークケースといった感じです。 $ curl https://api.github.com ...,https://qiita.com//mserizawa/items/b833e407d89abd21ee72,19,mserizawa
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}4803",もう保守されない画面遷移図は嫌なので、UI Flow図を簡単にマークダウンぽく書くエディタ作った,"[""Electron"", ""uiflow"", ""JavaScript"", ""Graphviz""]",これはRuby on Railsを生み出したことで有名な37signalsのブログで紹介された技法だ。,https://qiita.com//hirokidaichi/items/ff54a968bdd7bcc50d42,34,hirokidaichi
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}4618",開設後３週間で収益１０万円を得た個人開発サイトでやったことの全部を公開する,"[""\u500B\u4EBA\u958B\u767A"", ""Ruby"", ""JavaScript"", ""AWS"", ""Heroku""]","開設して３週間ほどで収益１０万円を個人開発サイトから得たので、そこでやったことを全部ここに公開する。
世の中には＊＊億ドルのバリュエーションを獲得したスゲー起業家の話か、個人開発サイトを立ち上げ...",https://qiita.com//jabba/items/1a49e860a09a613b09d4,48,jabba
